[2025-07-16 21:30:12] [INFO    ] discord.client: logging in using static token
[2025-07-16 21:30:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-16 21:30:13] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-16 21:30:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1394217509124833300', 'username': 'dasatoOVA', 'avatar': '89bdd09043389d7a853a8f47970c5c41', 'discriminator': '6154', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'e8a83086c73f847f61699c36b8adcb84', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-16 21:30:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-16 21:30:13] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-16 21:30:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1394217509124833300', 'name': 'dasatoOVA', 'icon': '89bdd09043389d7a853a8f47970c5c41', 'description': 'dasatoOVA是一位在沙烏地阿拉伯厭倦了挖石油與開cs2箱子的中東王子\n🛠️ !bing : 會親切地回你bong\n🛠️ !nofight@user1@user2: 進行一次20面骰對決\n🛠️ !helpwe @user1@user2: 進行一次20面骰對決 並在語音頻道把他唸出來\n🛠️ !join: 加入所在者語音頻道\n🛠️ !quit: 離開語音頻道\n', 'type': None, 'bot': {'id': '1394217509124833300', 'username': 'dasatoOVA', 'avatar': '89bdd09043389d7a853a8f47970c5c41', 'discriminator': '6154', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'e8a83086c73f847f61699c36b8adcb84', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '519d6b809401ceb893b393b289e1d3ff5ac58bf001283c899c84bf9e9c40c9ab', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '865202317601931295', 'username': 'simako0628', 'avatar': 'ec6e231aae313180a019f8cf07a3863b', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 4063866, 'global_name': 'simako', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#3e027a', 'clan': {'identity_guild_id': '574720535888396288', 'identity_enabled': True, 'tag': 'NURO', 'badge': '439c5b7117f3f3e8e574b4766d1b7e73'}, 'primary_guild': {'identity_guild_id': '574720535888396288', 'identity_enabled': True, 'tag': 'NURO', 'badge': '439c5b7117f3f3e8e574b4766d1b7e73'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-16 21:30:13] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-16 21:30:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-c-p3dk",{"micros":0.0}]']}}
[2025-07-16 21:30:13] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-16 21:30:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-16 21:30:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'dasatoOVA', 'primary_guild': None, 'mfa_enabled': True, 'id': '1394217509124833300', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6154', 'clan': None, 'bot': True, 'avatar': '89bdd09043389d7a853a8f47970c5c41'}, 'session_type': 'normal', 'session_id': '6835c9a9cd1a31a4cdc59b3471db2252', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '845096333950058496'}, {'unavailable': True, 'id': '1151550249702277241'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['hongkong', 'japan', 'singapore', 'india', 'dubai'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1394217509124833300', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-c-p3dk",{"micros":86778,"calls":["id_created",{"micros":372,"calls":[]},"session_lookup_time",{"micros":1477,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-17",{"micros":84580,"calls":["start_session",{"micros":61560,"calls":["discord-api-rpc-545595bdb9-vnsxk",{"micros":46114,"calls":["get_user",{"micros":7012},"get_guilds",{"micros":7742},"send_scheduled_deletion_message",{"micros":22},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":16},"pending_payments",{"micros":6391},"apex_experiments",{"micros":1001},"user_activities",{"micros":14},"played_application_ids",{"micros":4}]}]},"starting_guild_connect",{"micros":45,"calls":[]},"presence_started",{"micros":6404,"calls":[]},"guilds_started",{"micros":82,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":16470,"calls":[]},"connect_finished",{"micros":16474,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-16 21:30:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-16 21:30:14] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 6835c9a9cd1a31a4cdc59b3471db2252).
[2025-07-16 21:30:14] [DEBUG   ] discord.client: Dispatching event connect
